mal_id	title	season	genres	type	episodes	score	members	img	prequels_id	is_sequel
801	Ghost in the Shell: Stand Alone Complex 2nd GIG	Winter 2004	{'Action', 'Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen'}	TV	26	8.54	164680	https://cdn.myanimelist.net/images/anime/11/51465.jpg	{467}	False
38262	Pingu in the City (2018)	Fall 2018	{'Slice of Life', 'Comedy', 'Kids'}	TV	26	8.54	5770	https://cdn.myanimelist.net/images/anime/1315/95173.jpg	{36259}	False
170	Slam Dunk	Fall 1993	{'Comedy', 'Sports', 'Drama', 'School', 'Shounen'}	TV	101	8.54	132866	https://cdn.myanimelist.net/images/anime/12/86890.jpg	{}	False
12431	Uchuu Kyoudai	Spring 2012	{'Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space'}	TV	99	8.54	111976	https://cdn.myanimelist.net/images/anime/7/37573.jpg	{22583}	False
37965	Kaze ga Tsuyoku Fuiteiru	Fall 2018	{'Comedy', 'Sports', 'Drama'}	TV	23	8.53	78828	https://cdn.myanimelist.net/images/anime/1692/93918.jpg	{}	False
21	One Piece	Fall 1999	{'Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen'}	TV		8.53	835537	https://cdn.myanimelist.net/images/anime/6/73245.jpg	{}	False
9989	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	Spring 2011	{'Slice of Life', 'Supernatural', 'Drama'}	TV	11	8.52	758727	https://cdn.myanimelist.net/images/anime/5/79697.jpg	{}	False
5028	Major S5	Winter 2009	{'Comedy', 'Drama', 'Romance', 'Shounen', 'Sports'}	TV	25	8.52	43326	https://cdn.myanimelist.net/images/anime/9/75218.jpg	{3226}	False
32182	Mob Psycho 100	Summer 2016	{'Action', 'Slice of Life', 'Comedy', 'Supernatural'}	TV	12	8.52	651346	https://cdn.myanimelist.net/images/anime/8/80356.jpg	{}	False
10165	Nichijou	Spring 2011	{'Slice of Life', 'Comedy', 'School', 'Shounen'}	TV	26	8.51	440573	https://cdn.myanimelist.net/images/anime/3/75617.jpg	{8857}	False
37450	Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai	Fall 2018	{'Comedy', 'Romance', 'School', 'Supernatural'}	TV	13	8.51	348874	https://cdn.myanimelist.net/images/anime/1301/93586.jpg	{}	False
28171	Shokugeki no Souma	Spring 2015	{'Ecchi', 'School', 'Shounen'}	TV	24	8.51	730033	https://cdn.myanimelist.net/images/anime/3/72943.jpg	{}	False
22535	Kiseijuu: Sei no Kakuritsu	Fall 2014	{'Action', 'Sci-Fi', 'Horror', 'Psychological', 'Drama', 'Seinen'}	TV	24	8.5	795491	https://cdn.myanimelist.net/images/anime/3/73178.jpg	{}	False
24415	Kuroko no Basket 3rd Season	Winter 2015	{'Comedy', 'Sports', 'School', 'Shounen'}	TV	25	8.5	336650	https://cdn.myanimelist.net/images/anime/4/68299.jpg	{16894}	False
205	Samurai Champloo	Spring 2004	{'Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen'}	TV	26	8.5	622785	https://cdn.myanimelist.net/images/anime/11/29134.jpg	{}	False
10162	Usagi Drop	Summer 2011	{'Josei', 'Slice of Life'}	TV	11	8.5	302945	https://cdn.myanimelist.net/images/anime/2/29665.jpg	{}	False
877	Nana	Spring 2006	{'Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Shoujo'}	TV	47	8.49	291973	https://cdn.myanimelist.net/images/anime/2/11232.jpg	{}	False
5941	Cross Game	Spring 2009	{'Comedy', 'Sports', 'Drama', 'Romance', 'School', 'Shounen'}	TV	50	8.48	79344	https://cdn.myanimelist.net/images/anime/6/22103.jpg	{}	False
17389	Kingdom 2nd Season	Summer 2013	{'Action', 'Military', 'Historical', 'Seinen'}	TV	39	8.48	52793	https://cdn.myanimelist.net/images/anime/13/53589.jpg	{12031}	False
392	Yuu☆Yuu☆Hakusho	Fall 1992	{'Action', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen'}	TV	112	8.48	318746	https://cdn.myanimelist.net/images/anime/8/25152.jpg	{}	False
10030	Bakuman. 2nd Season	Fall 2011	{'Comedy', 'Drama', 'Romance', 'Shounen'}	TV	25	8.47	225255	https://cdn.myanimelist.net/images/anime/3/34923.jpg	{7674}	False
136	Hunter x Hunter	Fall 1999	{'Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen'}	TV	62	8.47	266489	https://cdn.myanimelist.net/images/anime/8/19473.jpg	{}	False
33	Kenpuu Denki Berserk	Fall 1997	{'Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural'}	TV	25	8.47	334036	https://cdn.myanimelist.net/images/anime/12/18520.jpg	{}	False
16498	Shingeki no Kyojin	Spring 2013	{'Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen'}	TV	25	8.47	1551496	https://cdn.myanimelist.net/images/anime/10/47347.jpg	{}	False
